node	degree	length	cluster
s1974	4	210364	1
s3223	2	28790	2
s1888	4	229289	3
s3747	4	245450	3
s140514	2	21	1
s120887	2	85	1
s129050	2	1572	1
s105751	3	639	1
s2179	2	14	3
s82334	4	187	1
s129153	3	108	1
s785	3	40	1
s114909	4	577	3
s129235	3	4764	3
s105180	2	53	3
s2283	2	1	1
s82915	4	2270	1
s114721	3	4	1
s3053	4	1477	1
s105266	2	61	3
s83116	3	108	1
s4609	4	19859	3
s4084	4	322358	1
s82308	2	298	3
s2478	2	1	1
s82646	2	204	3
s904	4	59	1
s81363	2	88	1
s81359	4	214	3
s403	3	300	1
s2081	2	176	1
s125400	2	78	3
s4058	4	61747	3
s3998	4	36958	1
s62	2	75	1
s2072	4	37614	1
s2291	2	64	1
s120803	2	7	3
s120782	2	158	1
s82987	3	703	1
s4045	3	253	1
s480	4	1128	3
s975	4	59924	3
s105263	3	94	1
s138286	2	2611	3
s1245	4	41	3
s131889	3	140	1
s4689	2	11	3
s3917	2	322	3
s363	2	1	1
s81472	3	568	1
s2789	4	8759	1
s82663	4	278	3
s3983	4	125679	3
s105230	2	62	3
s1660	4	142770	1
s142	3	7	3
s1566	3	10	1
s125602	2	90	1
s120892	2	631	3
s1613	4	75	3
s105525	2	85	1
s120795	2	63	1
s3473	2	50	1
s82213	4	855	3
s105512	2	115	1
s125474	2	319	1
s81679	3	266	1
s114745	2	132	1
s4595	2	345	1
s2666	4	9335	3
s5023	4	161682	1
s704	2	59	1
s105594	5	74	1
s131934	2	5132	3
s645	4	6760	3
s710	2	117	1
s134645	2	50	1
s114969	3	38	1
s81553	2	350	3
s3558	4	1590	1
s2164	4	35391	3
s83145	2	66694	1
s81529	3	802	1
s82128	2	173	1
s125496	2	200	3
s2634	2	87	1
s82491	2	608	3
s131954	2	72	1
s4928	4	191632	3
s1240	4	56947	3
s83058	2	99	3
s1016	4	105630	3
s4629	5	63843	1
s1545	4	2875	3
s121057	4	457	1
s3780	4	108923	1
s18	4	2319	1
s121110	2	912	3
s4091	4	122078	3
s908	4	30	1
s114609	2	63	3
s81929	2	224	1
s105369	4	409	1
s4905	4	34221	1
s129098	2	337	3
s82903	2	150	3
s81828	2	318	3
s105689	2	62	3
s132000	3	795	1
s132060	2	392	3
s5362	2	60	1
s83108	5	459	3
s2732	4	7762	3
s115087	4	3150	1
s5271	2	134	1
s115004	2	1	3
s104792	4	10754	3
s4479	4	203542	1
s959	3	41	1
s83084	2	105	1
s3432	4	405070	1
s137962	2	10	1
s219	4	3060	3
s1042	4	194	3
s82950	4	796	3
s5356	2	326	1
s138210	2	126	1
s82065	2	360	1
s1528	2	2	1
s114855	4	107	1
s132047	2	611	1
s134752	2	178	1
s105392	2	200	1
s140421	2	26	1
s1859	5	329477	1
s114987	2	69	1
s114626	2	304	1
s4042	4	7819	1
s4821	2	77	3
s2583	4	352301	1
s82408	2	11	1
s1601	3	93	1
s2794	3	841	3
s132052	2	108	3
s81984	2	320	1
s3734	4	269260	1
s3931	4	43306	1
s105753	2	149	1
s105730	2	103	1
s4994	2	50	1
s1949	4	177	1
s120883	2	1	1
s134745	2	144	3
s82601	3	7	1
s751	2	192	3
s134689	2	1	3
s3181	5	33673	1
s114525	3	18	3
s4113	2	1665	1
s665	3	124	1
s105218	3	135	1
s114625	2	2	3
s3006	4	2453	3
s105094	2	340	1
s4720	4	558	1
s105435	2	83	1
s899	4	11	1
s82609	4	73	3
s3828	4	168999	1
s115051	2	63	3
s105083	2	32	3
s83249	2	123	1
s114573	2	8	1
s125422	2	7	1
s125492	2	51	1
s105560	2	145	1
s1371	4	166	1
s134772	4	269	1
s120944	2	91	3
s651	4	83	3
s120760	2	13	1
s82121	2	332	3
s3332	4	21317	1
s3217	2	313	1
s105742	2	129	3
s114943	4	706	1
s2710	2	317	3
s82679	2	63	1
s3960	4	171255	3
s1352	2	1	1
s140517	2	440	1
s1505	4	2528	1
s105605	4	933	1
s2892	2	50	3
s132030	2	82	3
s140540	2	80	3
s129162	2	676	3
s133	5	21	1
s125393	2	324	3
s4061	4	42738	3
s3537	4	50	1
s125451	2	53	1
s2225	2	734	3
s140422	2	121	1
s765	4	2733	1
s2841	4	82853	3
s114955	2	87	1
s140442	2	26454	1
s4470	4	21694	3
s105103	2	5	3
s114797	2	62	1
s1132	2	110	1
s138268	2	80	1
s125467	2	172	1
s105134	4	353	3
s1708	4	50674	3
s82437	3	57	1
s2652	3	9	1
s3974	4	255630	1
s3583	2	320	3
s82515	4	131	1
s82792	2	444	3
s81847	3	179	1
s82091	2	13	1
s3595	3	2	3
s4825	4	240	3
s104947	2	77	3
s326	4	174595	1
s5056	4	236	3
s83080	4	82	1
s131970	2	89	1
s4266	2	3	1
s2482	5	260	1
s140	2	15	3
s5026	3	53	1
s1343	4	7098	3
s1029	4	6604	3
s2386	4	82771	1
s1182	2	50000	1
s134639	2	52	1
s4076	5	49	3
s1655	3	10	1
s190	3	14	1
s81723	2	15	3
s3038	4	1324	1
s4958	4	5816	1
s114844	2	106	3
s83227	4	52	3
s47	5	163	1
s1638	4	15	1
s1687	4	196511	3
s120801	2	83	1
s173	2	1	1
s4033	4	32	3
s4780	4	34802	1
s129207	2	181	3
s82229	2	2	1
s141	5	18340	1
s4064	4	105449	3
s82289	2	48	3
s139633	2	52	1
s3596	2	54	3
s140502	2	10	1
s131895	2	55	1
s485	3	1018	3
s104853	2	1	1
s1647	4	11564	1
s4028	4	104059	3
s105483	2	90	3
s3905	4	125786	1
s3658	4	138307	3
s132062	2	483	3
s1686	2	74	3
s131932	2	1	3
s2833	3	56	1
s660	2	79	3
s82116	3	128	1
s991	3	109	1
s81988	2	420	1
s2718	4	6088	1
s82907	2	99	1
s114768	2	18	1
s4763	4	6724	1
s83004	2	2247	1
s1173	4	4239	1
s4697	4	198393	3
s5093	3	193	1
s2627	4	45854	3
s105792	2	117	1
s896	4	86	1
s357	3	162	1
s105702	3	71	1
s2550	4	50421	1
s12	2	239	1
s105408	3	2959	1
s5010	4	17829	1
s1594	4	57	1
s3083	4	10986	3
s3397	4	101555	1
s5116	4	31840	3
s1027	2	1	3
s2751	4	54498	3
s4163	4	139760	3
s121178	3	246	1
s105635	2	638	1
s1440	3	172221	1
s3219	2	279	2
s4603	3	48	3
s600	4	43399	1
s348	2	66	3
s442	4	295	3
s4657	4	161273	3
s884	2	100	3
s82090	2	51	1
s1867	4	26074	1
s114759	2	6	3
s114857	4	353	1
s262	2	12	1
s138341	2	1196	1
s4074	3	67	3
s115020	3	112	3
s1661	2	1	1
s1242	2	266	3
s105626	2	219	1
s1829	2	56	1
s1404	4	45391	3
s82572	3	183	3
s5097	5	9954	1
s140529	2	117	1
s121193	2	187	1
s86	3	64	3
s545	2	329	1
