node	length	degree	branching	terminal
s143425	303	2	False	False
s105517	1867	4	True	False
s4142	52	2	False	False
s82195	57	2	False	False
s137977	1	2	False	False
s105268	7	2	False	False
s1080	8423	4	True	False
s1216	3	2	False	False
s4967	14	3	True	False
s482	64	4	True	False
s389	50368	4	True	False
s81896	125	2	False	False
s2434	328	2	False	False
s140431	52	2	False	False
s82373	3	2	False	False
s2194	169653	4	True	False
s4366	72332	4	True	False
s4423	861	2	False	False
s104949	72	2	False	False
s82505	52	2	False	False
s143346	20	2	False	False
s82996	920	2	False	False
s138348	4	2	False	False
s105100	50	2	False	False
s105569	562	2	False	False
s1062	2	2	False	False
s1052	53639	4	True	False
s1245	41	4	True	False
s132046	50	2	False	False
s82705	4	2	False	False
s1983	394462	4	True	False
s3550	67	4	True	False
s1317	40	4	True	False
s3389	32	2	False	False
s82855	681	3	True	False
s4344	117	4	True	False
s2617	320	2	False	False
s5023	161682	4	True	False
s4084	322358	4	True	False
s2970	5769	2	False	False
s1419	25036	4	True	False
s105004	66	3	True	False
s3057	3719	4	True	False
s115090	1582	2	False	False
s577	121	2	False	False
s3899	91995	4	True	False
s82166	818	4	True	False
s114720	36	2	False	False
s1487	3346	4	True	False
s5386	76	3	True	False
s2366	5	2	False	False
s114613	131	2	False	False
s3630	101054	4	True	False
s104927	5326	3	True	False
s2852	114919	4	True	False
s129188	89	2	False	False
s134696	2138	3	True	False
s1258	144	2	False	False
s4407	24249	4	True	False
s121120	49	3	True	False
s2211	14878	4	True	False
s129123	59	3	True	False
s81856	592	2	False	False
s502	6	2	False	False
s417	3896	4	True	False
s113	84	2	False	False
s82534	60	2	False	False
s82469	11	2	False	False
s121111	5	2	False	False
s488	2020	4	True	False
s3481	13284	4	True	False
s81916	152	2	False	False
s643	13962	4	True	False
s114723	61	3	True	False
s114689	50	3	True	False
s5422	262	4	True	False
s4017	220427	4	True	False
s109	98	2	False	False
s105126	90	4	True	False
s5208	3	2	False	False
s496	67	2	False	False
s82985	65	4	True	False
s1639	7	2	False	False
s132060	392	2	False	False
s2085	232050	4	True	False
s121011	10	2	False	False
s82576	58	2	False	False
s120787	121	2	False	False
s132009	115	2	False	False
s81851	73	2	False	False
s4253	977	2	False	False
s4757	89057	4	True	False
s4883	11592	4	True	False
s29	269	4	True	False
s3697	6180	4	True	False
s132015	2013	4	True	False
s82313	156	2	False	False
s104966	58	2	False	False
s114972	6	2	False	False
s105378	77	4	True	False
s821	88	4	True	False
s125465	150	2	False	False
s104849	42	3	True	False
s104876	172	4	True	False
s83201	1	2	False	False
s105192	1916	2	False	False
s114564	58	2	False	False
s4363	123	4	True	False
s1066	99910	4	True	False
s5438	11	4	True	False
s82197	910	2	False	False
s956	26551	4	True	False
s2005	149532	4	True	False
s82036	518	3	True	False
s121026	378	3	True	False
s138260	400	2	False	False
s4778	64120	4	True	False
s104965	115	2	False	False
s81501	253	2	False	False
s114636	152	3	True	False
s4035	76	3	True	False
s105520	297	2	False	False
s5349	107065	4	True	False
s81439	5	2	False	False
s53	173	4	True	False
s81398	354	2	False	False
s2319	333029	4	True	False
s114968	89	2	False	False
s132057	975	2	False	False
s134617	50	2	False	False
s115060	52	2	False	False
s4357	54188	4	True	False
s138219	292	2	False	False
s1359	88	2	False	False
s115089	1624	2	False	False
s816	28792	4	True	False
s137952	280	2	False	False
s1638	15	4	True	False
s3557	1830	2	False	False
s5077	87	2	False	False
s2599	8798	4	True	False
s105425	125	2	False	False
s81637	88	4	True	False
s140454	10	2	False	False
s4436	12659	4	True	False
s243	366	4	True	False
s81420	138	3	True	False
s105441	106	2	False	False
s81456	29	4	True	False
s82095	264	2	False	False
s1061	174	4	True	False
